,index,date,user,item,review_rating,review_text,review_length,has_references,Example,Unnamed: 9,Unnamed: 10,prediction,answers
10,583813,2012-02-13,DmdBHVgsWHumq-GZ91iK1w,red-house-asian-fusion-flushing,4.0,"Mislabeled as Japanese. They have sushi but the menu is heavily northern Chinese/Shanghainese food. Good xiao loong bao  (little steamed soup dumplings) and stir fried nien-go. And the braised pork shoulder is awesome. Being half shanghai/ningbo, I approve. In a strange neighborhood, but worth the drive to have a wonderful meal.",51,0,0,,,0,"No reference.

The review describes a personal experience and expresses approval based on familiarity with specific dishes and regional cuisine. It doesn't mention or reference any external reviews or ratings."
11,248138,2010-05-24,oID4QGAu8v1mQfKOSEt_Bg,giorgios-of-gramercy-new-york,4.0,"Just celebrated my dad's bday at Giorgio's with a dinner for 8. Everything was delicious, portions were a good size and our guests were raving. I was charged a $20 per bottle cork fee, but that worked out well bc I brought in 3 bottles of wine, and the cheapest bottle on their menu was $40...and also a $3 per person cake fee. Overall we had a great time, I think this place is good for groups!",77,0,0,,,0,"No reference.

The text describes a personal experience and doesn't mention or reference other reviews or platforms like Yelp."
12,2114667,2016-02-10,oXPaU9MqWEjknXz38p5LRw,agora-taverna-forest-hills-2,5.0,"This is one of my favorite spots for seafood or just great Greek food! By far one of the gems of Austin street. The restaurant itself has a great vibe and Mediterranean decor with lovely music. Although the music can sometimes overpower the dinner table conversation, you can overlook it because the food will keep your mouth busy. One of my favorites is their burgers, which they cook at a perfect medium rare- at your request. Among others I'd definitely try out their daily specials, I've had a few and they're all delectable. The fish and seafood are all very fresh tasting and well seasoned. Their lemon potatoes are also a must try! For authentic Greek food this is the place to go!",123,0,0,,,0,"No reference.

The text describes a personal experience and highlights the quality of the food and atmosphere but doesn't mention other reviews or comparisons to other establishments."
13,1874012,2015-08-31,YXlttY653BYyby5Rbwt_fA,gotham-pizza-new-york,4.0,"I was looking for parking to eat something this was the closest one where I parked . It was ok , I had better ones before. I believe in order to get famous all have to something better than others and make something special than other pizza stores. That makes difference",51,0,0,,,0,"No reference.

The text focuses on a personal comparison to other pizza places and doesn's mention Yelp or any other review sources."
14,1641365,2015-03-29,jqZWsRBYlmVGqpHihD02JQ,tryon-public-house-new-york,4.0,"Finally got the chance to try this place. The venue is beautiful, and it's nice to have a place to go in the neighborhood where you can get a drink and watch a game. Service was pretty good, and they have a decent selection of drinks. I had the mushroom burger. The burger portion was pretty dry but whatever they marinate the mushrooms in was amazing! I will definitely be back to enjoy the nice laid back atmosphere that doesn't turn into a club after 9pm.",86,0,0,,,0,"No reference.

The review describes personal experience and atmosphere, without mentioning other reviews or external recommendations."
15,3469232,2019-08-12,nmnx1kjjyvKuIcR_KkRzeQ,rosa-mexicano-new-york-3,2.0,Really bad experience.<br><br>The guac was super bland. The service was slow. I ordered the chicken enchiladas. My mom got the trio enchiladas and my sister got the fish tacos. My enchiladas were all right. The rest of my family hated their food.<br><br>Our server never came back to check on us.<br><br>The place wasn&#39;t too crowded and was very overpriced.<br><br>I wouldn&#39;t come back here again. The experience wasn&#39;t great and the environment was very loud and busy.,75,0,0,,,0,"No reference.

The review describes a personal experience and doesn't mention any external sources or other reviews."
16,3010157,2018-04-19,-64EGdshqPYRlbCHSC53ng,john-f-kennedy-international-airport-jamaica-5,3.0,"As busy as an airport can ever be, but going thru Immigtation was so organised and fast that I was impressed specially if you had global entry.",27,0,0,,,0,"No reference.

The text describes a personal experience with airport immigration and doesn't mention or refer to reviews from any external source like Yelp or other review platforms."
17,3748554,2021-03-05,1_d0MY9YwWeKKZhpwtMZLA,miss-korea-bbq-new-york,5.0,"Came here for a dinner with friends. I have long sought a good KBBQ place in K-town and boy did I find one. Miss Korea is more than just food, it&#39;s a way of life. I came in to this meal expecting the same mundane existence of Korean BBQ, but I walked away a new soul. Can I promise you that you will have the same revelation that I had after eating here? Don&#39;t be silly, of course I can and it wil.",83,0,0,,,0,"No reference.

The text describes a personal experience and doesn't mention or reference any other reviews or external sources. It's a subjective account of a meal."
18,2262002,2016-05-11,XLWzJDeFGG9fLzR_aAeQzQ,yuji-ramen-brooklyn-3,5.0,Delicious and great service. a real authentic Japanese experience. As good at its sister restaurant Okonumi,16,0,0,,,0,"No reference.

The text describes a personal experience and praises the restaurant based on its qualities, without mentioning any external reviews or comparisons to other platforms."
19,1528569,2015-01-04,okvpmosiQMHstgLRr9B7cQ,dosa-delight-jackson-heights,1.0,"Terrible service. We came in and sat ourselves at a table. No one came to ask us for 10 mins. Even before having the food, we were already disappointed. Won't come back again.",33,0,0,,,0,"No reference.

The review focuses solely on the personal experience and doesn't mention any external sources or comparisons to other reviews/establishments."
