,Unnamed: 0,index,date,user,item,review_rating,review_text,review_length,has_references,prediction,answers
10,10,583813,2012-02-13,DmdBHVgsWHumq-GZ91iK1w,red-house-asian-fusion-flushing,4.0,"Mislabeled as Japanese. They have sushi but the menu is heavily northern Chinese/Shanghainese food. Good xiao loong bao  (little steamed soup dumplings) and stir fried nien-go. And the braised pork shoulder is awesome. Being half shanghai/ningbo, I approve. In a strange neighborhood, but worth the drive to have a wonderful meal.",51,0,0,No reference # The review describes the food and personal experience without mentioning or referencing other reviews or Yelp itself.
11,11,248138,2010-05-24,oID4QGAu8v1mQfKOSEt_Bg,giorgios-of-gramercy-new-york,4.0,"Just celebrated my dad's bday at Giorgio's with a dinner for 8. Everything was delicious, portions were a good size and our guests were raving. I was charged a $20 per bottle cork fee, but that worked out well bc I brought in 3 bottles of wine, and the cheapest bottle on their menu was $40...and also a $3 per person cake fee. Overall we had a great time, I think this place is good for groups!",77,0,0,No reference # The review solely describes the experience and doesn't mention or refer to other reviews or ratings.
12,12,2114667,2016-02-10,oXPaU9MqWEjknXz38p5LRw,agora-taverna-forest-hills-2,5.0,"This is one of my favorite spots for seafood or just great Greek food! By far one of the gems of Austin street. The restaurant itself has a great vibe and Mediterranean decor with lovely music. Although the music can sometimes overpower the dinner table conversation, you can overlook it because the food will keep your mouth busy. One of my favorites is their burgers, which they cook at a perfect medium rare- at your request. Among others I'd definitely try out their daily specials, I've had a few and they're all delectable. The fish and seafood are all very fresh tasting and well seasoned. Their lemon potatoes are also a must try! For authentic Greek food this is the place to go!",123,0,0,No reference # The review describes personal experience and preferences without referencing other reviews or the Yelp platform itself.
13,13,1874012,2015-08-31,YXlttY653BYyby5Rbwt_fA,gotham-pizza-new-york,4.0,"I was looking for parking to eat something this was the closest one where I parked . It was ok , I had better ones before. I believe in order to get famous all have to something better than others and make something special than other pizza stores. That makes difference",51,0,0,"No reference # The review describes a personal experience and compares the restaurant to other pizza stores, without mentioning other reviews or Yelp."
14,14,1641365,2015-03-29,jqZWsRBYlmVGqpHihD02JQ,tryon-public-house-new-york,4.0,"Finally got the chance to try this place. The venue is beautiful, and it's nice to have a place to go in the neighborhood where you can get a drink and watch a game. Service was pretty good, and they have a decent selection of drinks. I had the mushroom burger. The burger portion was pretty dry but whatever they marinate the mushrooms in was amazing! I will definitely be back to enjoy the nice laid back atmosphere that doesn't turn into a club after 9pm.",86,0,0,No reference # The review solely describes the user's experience and preferences without mentioning or referencing other reviews or the Yelp platform itself.
15,15,3469232,2019-08-12,nmnx1kjjyvKuIcR_KkRzeQ,rosa-mexicano-new-york-3,2.0,Really bad experience.<br><br>The guac was super bland. The service was slow. I ordered the chicken enchiladas. My mom got the trio enchiladas and my sister got the fish tacos. My enchiladas were all right. The rest of my family hated their food.<br><br>Our server never came back to check on us.<br><br>The place wasn&#39;t too crowded and was very overpriced.<br><br>I wouldn&#39;t come back here again. The experience wasn&#39;t great and the environment was very loud and busy.,75,0,0,No reference # The review solely describes the reviewer's experience and doesn't mention or allude to other reviews or the Yelp platform itself.
16,16,3010157,2018-04-19,-64EGdshqPYRlbCHSC53ng,john-f-kennedy-international-airport-jamaica-5,3.0,"As busy as an airport can ever be, but going thru Immigtation was so organised and fast that I was impressed specially if you had global entry.",27,0,0,No reference. # The review describes an experience with airport immigration and does not mention or allude to other reviews or Yelp itself.
17,17,3748554,2021-03-05,1_d0MY9YwWeKKZhpwtMZLA,miss-korea-bbq-new-york,5.0,"Came here for a dinner with friends. I have long sought a good KBBQ place in K-town and boy did I find one. Miss Korea is more than just food, it&#39;s a way of life. I came in to this meal expecting the same mundane existence of Korean BBQ, but I walked away a new soul. Can I promise you that you will have the same revelation that I had after eating here? Don&#39;t be silly, of course I can and it wil.",83,0,0,"No reference # The review describes a personal experience and uses hyperbolic language (""new soul"", ""revelation"") without referencing other reviews or the Yelp platform itself."
18,18,2262002,2016-05-11,XLWzJDeFGG9fLzR_aAeQzQ,yuji-ramen-brooklyn-3,5.0,Delicious and great service. a real authentic Japanese experience. As good at its sister restaurant Okonumi,16,0,0,"No reference # compares the restaurant to its sister restaurant, which is not a reference to Yelp reviews."
19,19,1528569,2015-01-04,okvpmosiQMHstgLRr9B7cQ,dosa-delight-jackson-heights,1.0,"Terrible service. We came in and sat ourselves at a table. No one came to ask us for 10 mins. Even before having the food, we were already disappointed. Won't come back again.",33,0,0,No reference # The review solely describes the user's negative experience and doesn't mention or allude to other reviews or the Yelp platform.
20,20,1847933,2015-08-15,TmEDz33B31lWwprG1uXvNw,pork-slope-brooklyn,2.0,"I don't mean to be so harsh; I just don't understand.  With such an indulgent, whimsical menu... I should be in heaven right now.  The chicken nuggets are awesome.  But the buffalo shrimp were not balanced and soggy.  The Mac and cheese was just meh and the tater tots were wAy undercooked.",52,0,0,No reference # The review solely describes the user's experience and provides feedback on specific menu items. There are no mentions of other reviews or Yelp itself.
21,21,2173509,2016-03-17,4gdvasTKzQVY6bEZD_FIfg,fairway-cafe-new-york,4.0,Wasn't busy on a Thursday morning.  Service was fast and polite. The coffee was kept refilled. The pancakes were quite light and fluffy. There was a good variety of menu choices.  Prices are in line or just a tiny bit above typical sit down breakfast places.,46,0,0,No reference # The review solely describes the user's experience and doesn't mention or allude to other reviews or Yelp itself.
22,22,1734130,2015-06-04,KKsfh-y9xMhpsn2uRxnULA,the-boil-new-york-3,5.0,"Is ALL that can be said! Truly! Is there a help group that caters to addicted diners of this establishment? I need the number.... A lb of skrimps, crawfish, potatoes n corn with the hot+fire mix on the side?!?! Stop it! It makes me feel as if I'm closer to God. Truly! Not to mention-- amidst being constantly slammed with customers, the staff and management are all EXCEPTIONAL! This! Is how a restaurant is run!",75,0,0,No reference # The review solely describes the user's experience and praises the restaurant and staff. There are no mentions of other reviews or Yelp itself.
23,23,1721217,2015-05-26,ii3qnGqu4x7h3aDNNupw0g,bengal-tiger-indian-food-new-york,5.0,"Fantastic! This is precisely the kind of gem amongst a million hole-in-ones that Yelpers help uncover. Here's my experience with this place. - Excellent, excellent food. It was absolutely delicious, and slightly ""innovative"" dishes--minced lamb spring rolls--are memorable and delicious. - Service is very good; occasionally they are a bit overwhelmed due to the small-scale nature of their operations. However, they are consistently kind and service-oriented. - Pricing is great. In summary, you should stop reading this review and go over and enjoy some delicious Indian food in midtown right now!",91,1,1,"Reference to other reviews # The phrase ""stop reading this review"" implies a reference to other reviews."
24,24,3046169,2018-05-24,d0r7H2S13rnvn7r3rrMTRA,cho-dang-gol-korean-restaurant-new-york,3.0,"A small cozy restaurant with really relaxing atmosphere. Asked for less spicy bulgogi. The waiter perhaps forgot to inform the cook or the cook ignored it; it arrived soaked in chili paste, so it ruined the whole experience.",38,0,0,No reference # The review solely describes a personal experience and doesn't mention other reviews or the review platform Yelp.
25,25,384301,2011-03-19,xG-wQaI6FpmTT6ljhfb0aw,poco-new-york-3,3.0,"Went here a few weeks ago for my friend's birthday brunch (Hi Rosa!) First, I didn't expect the place to be so small. It's tight quarters. Next, it's extremely loud! I felt like I was SCREAMING to have a conversation with my friends; I wanted ask everyone in the restaurant to lower their voices just a little but didn't want to get jumped LOL The staff is amazing the bartenders were very nice and friendly and the waitress we had downstairs was on top of her game!  I had the lobster Mac and Cheese. It came in a little medium sized bowl and had a lot of lobster in a cheesey sauce.  To wash it down, I had sangria - the white is better than the red.   Good food and drinks with great music - I am definitely coming back. I don't suggest this place if you want a quiet brunch or if you're trying to get to know someone better.",161,0,0,"No reference # The review solely describes the user's personal experience and observations about the restaurant, without mentioning or referencing other reviews or the Yelp platform itself."
26,26,1171544,2014-03-01,CkLdzkK3D2oztnUiXM5OXw,the-islands-brooklyn-2,5.0,The most delicious food I have ever had extraordinary very small and intimate...you can take your own bottle of any choice of wine. I'm really in love with here,29,0,0,No reference. # The review describes a personal experience and doesn't mention or allude to other reviews or Yelp itself.
27,27,2345680,2016-07-02,C6NgPhUJ_1m1t2B6ymTA8A,bills-bar-and-burger-new-york,4.0,"I've always gotten random flyers from this place but never had the chance to go until last night since I was going out for my cousin's birthday at Troy bar next door. I'll say it's def a good meal to have before drinking. I had the barbecue grilled chicken sandwich with cheese fries- both delicious! I just thought the bread to chicken ratio was alil off, but still good. Service was great. Our waiter was friendly and on top of his stuff. He reviewed our order before placing it, which is always good. I asked him about this free cookies and cream shake shot on Yelp and he delivered and then some! Our table got a free round of those yummy shots, which then made me regret not ordering a shake to begin with. Most definitely going back when I have the chance.",143,0,1,"Reference to other reviews # The reviewer mentions ""on Yelp"" and refers to a promotion they saw there."
28,28,3110171,2018-07-22,fMcbVWnvjRr9UnTY90YsrA,good-enough-to-eat-new-york,3.0,"Perfectly reasonable place for breakfast. Some good stuff with caveats. <br><br>At 10:30am on Sunday there was a 10min wait. Not bad but I wouldn&#39;t wait more than 15min for this place. <br><br>We shared:<br>Three Eggs (scrambled) - fluffy, buttery, and perfect! Needed salt. And slightly drowning in butter but I liked it. The biscuits were terrible(!). <br><br>Seasonal Pancakes (blueberry) - fantastic! Perfectly soft yet chewy. 3 large pancakes are more than enough. <br><br>MVP: The strawberry butter! As good as all the reviews say! <br><br>L(east)VP: The service. I needed to ask to for water twice! Not ok.",95,1,1,"Reference to other reviews # explicitly mentions ""As good as all the reviews say!"""
29,29,1446261,2014-10-28,54UoGzkEB67TQq326ErvnQ,the-halal-guys-new-york-2,5.0,"$6 dolla make me holla! go for the combo and use the white sauce liberally. so, so good!",18,0,0,No reference. # This review solely describes a personal experience and recommendation. It doesn't mention or allude to other reviews or Yelp itself.
30,30,1681886,2015-04-27,3vQBVjmEAzR3Ce7tubqkPg,jonnys-panini-new-york-2,5.0,"Johnny is a friendly guy and he's just all around a cool guy from the 15 minutes we were in there. The coffee was great and i love the paninis. Honestly, the service he gives is enough to make my experience there enjoyable.",43,0,0,"No reference. # The review focuses solely on the personal experience and the friendly service, without any mention or reference to other reviews or the Yelp platform itself."
31,31,801357,2013-01-01,CpxblJiVTxrJqUsItb2Nsg,hummus-place-new-york-5,5.0,"Beautiful ambiance, friendly staff, food packed with flavor and nutrition - WOW. We bought 2 Groupon deals, and glad we did! Highly recommend the hummus fava, falafel (best and non-oily ones I have ever had) with a side of labane cheese (almost like sour cream on the side, SOOOO delicious, this really made the meal!) The coffee was surprisingly good too. This is seriously the cheapest and truly satisfying meal I have had in months.",75,0,0,No reference # The review solely describes the user's experience and doesn't mention or allude to other reviews or the review platform Yelp.
32,32,3380411,2019-05-10,0i97xyBBaXIH_m39RbG6mQ,cleopatras-needle-new-york,1.0,"The Jazz was great, but our service and drinks were atrocious.  I ordered an old fashioned and it basically came in a shot glass and it had a lime in it instead of an orange. The bartender was so rude and brought our check out to us before our food even came.",52,0,0,No reference. # The review solely describes the user's experience and doesn't mention or refer to other reviews or Yelp itself.
33,33,148765,2009-07-31,BAAKaScq9e96wT3UJmtUzw,bar-boulud-new-york-2,3.0,"Pretry good but boring... the space is Scandinavian looking (to me at least), service is good but dull. Nice selection of pates; although I pretty much quit fois gras i was tempted by the ""torta"" a pate made up of duck and fois gras.  It had several layers too it and was served with lettuce and bread.  To my surprise it wasn't too fatty tasting and I ate the whole thing.  It's meant as an apetizer but it's a large portion! If I com eback I'd like to try the pate with elk and pheasant. Seabass was good but didn't enjoy the ridiculously bitter kale it was served with... drinking the summer sparkler(?) was significantly more fun than the fish... Mangue Sanguine for dessert- champagne, saffron, and flower honey mousse- heavenly.  The other coups de glaces looked inspiring too. The food is decent but it's forgettable and a boring type of place, no fun or happy vibes here... the strength I think is in the ice cream-y desserts.",168,0,0,No reference. # The review solely describes the reviewer's experience and opinions about the food and ambiance. It doesn't mention or allude to other reviews or Yelp itself.
34,34,371841,2011-02-24,JsOmY_afZyLbjzOauAfl_Q,le-relais-de-venise-l-entrecôte-new-york-2,3.0,"Look, the long and short of it is, they have only one entree on their menu. Steak frites with a butter and herb sauce.  Consequently they do steak frites really well.  For the princely sum of $48 each, our party enjoyed a three course meal with all major food groups - red meat, fries, butter, wine and chocolate. But there is no real atmosphere to speak of.  Its the sort of place you bring those types of people who don't eat any ""exotic foods"" (like fish or asparagus). Our table (all girls) did wonder whether the steak portion might have left a man-sized appetite wanting more? *On a side note, why do Americans insist on called a pile of iceberg lettuce drenched in dressing ""salad"".  Surely salad should include more than one type of vegetable?  A tomato maybe?  A stray cucumber?  Possibly a  smidgeon of scallions?  I don't know, maybe I'm just being picky?",154,0,0,No reference. The review solely describes the reviewer's experience and opinions about the restaurant and food. It doesn't mention or refer to other reviews or the review platform Yelp.
35,35,2893361,2017-12-30,k9ek_TB50dv3nWSFOvyzmQ,johns-of-times-square-new-york-2,5.0,First place we visited today when we arrived in NYC.  A local friend recommended we have pizza here. We were seated upstairs which had a beautiful view of the stained glass and murals. We started out with fried mozzarella. Yummy. Then we ordered a couple different pizzas. Delicious! Highly recommend making your way over here.,55,0,0,"No reference # The review describes the experience and includes a recommendation from a friend, not references to other Yelp reviews."
36,36,3129046,2018-08-08,iKL2DGFGFy6ohSSO_BMShg,js-wong-brooklyn,1.0,"Alright, so I&#39;m normally a big fan of J&#39;s Wong ( I order from there quite regularly). You simply can&#39;t beat their super fast delivery, and the fact that the delivery guy doesn&#39;t throw a fit once he realize there&#39;s no elevator. However, this was absurd. I ordered a large Won Tong soup. Simple right. Nope. Because what they gave me was a concoction of Egg Drop soup with dumplings floating in it. Don&#39;t believe me well check it out for yourself.",82,0,1,"Reference to other reviews # The phrase ""Don't believe me well check it out for yourself"" is an implicit reference to other reviews/opinions."
37,37,1281280,2014-06-13,I2bn8Zn6yr83omxoC6_Abg,stickys-finger-joint-new-york,4.0,"I was more intrigued than hungry when I came by this place. I ordered one finger, which made me feel like Chris Rock ordering one rib in I'm Gonna Git You Sucka. I got the Buffalo style one, and I was pleasantly surprised. The spicy sauce is well constructed, with some sweetness that cuts through the heat. The chicken was meaty, not overcooked and clearly made to order. For what it is, this is a good little joint.",78,0,0,No reference # The review solely describes the user's experience and doesn't mention other reviews or Yelp.
38,38,1075340,2013-11-20,NqDa-o7KndDYPxrU7B5Yvg,rudys-ristorante-and-pizzeria-closter,2.0,"Unfortunately its considered one of the best Pizzeria's in town, so not much competition. The pizza is good, but the service is horrible. If you are not one of the recognizable regulars, it seems you are a bother to them and should be happy they are serving you a all. I put up with it for awhile, but after they tried to sell me an old, small, left out slice of pizza, paired with a regular one , I just did not want to go back.",86,0,0,No reference # The review describes personal experience and makes a comparison to other restaurants without referencing other reviews.
39,39,1454663,2014-11-05,6jAaPqGpjx_8u9kVD2g6Rg,room-service-new-york-6,2.0,"Ok somebody has to say it. Those who gave this Thai restaurant anything more than 2 stars apparently has never been to Thailand nor tried authentic Thai food (or were just piss drunk when they ate the food). I am of the opinion that if you never traveled to a foreign country and tasted their food, you really shouldn't share your views on Yelp. You guys are just skewing the ratings system. Really, the food here is at best mediocre. Service, well, they managed to screw up my order every time I go. So at least they are consistent. I know, there are so many garbage Asian ""restaurants"" in Manhattan it is hard for those who has never been to Asia to tell the good ones from the bad. So I am going to help you guys out a bit since so many of you can't tell the difference between good and bad Asian food. Often, these restaurants' food has the same quality as McDonald's, but these ""restaurants"" have better furniture and are much more overpriced. I don't know why but you Manhattanites somehow love that combination (ie crappy food, nice decor, and an overpriced menu). As a general rule, you can tell an Asian restaurant has terrible food and is just trying to sell you an image (and not the quality of their food) when you see one or more of the below: 1) Hip, trendy music playing at the restaurant. 2) No (or very few) Asian patrons. Maybe one of two who are just mostly hanging out with their unfortunate non-Asian friends who are about to get ripped off with overpriced and mediocre food, but no groups of Asians (and come on, guys. This is a dead give away. If you haven't figure this one out already then god help you. As a general rule we Asians have a better idea where good Asian food is so you might want to follow us on this one instead of Tom and Dick from Ohio). 3) Food served on over-sized square plates. 4) Over-the-top Buddhism/Hinduism decor. 5) Strong smell of garlic (chef can't cook so he drenched everything in garlic, oil, and MSG and just fried it). For better and authentic Thai food try Jaiya (was there many yrs ago not sure how good they are now) or that little Thai restaurant in Woodside, Queens (right off the 7 train line). Totally forgot the name. Think it starts with an ""S"". Or befriend someone from Thailand and ask them where they go to get good Thai food. And stop messing up Yelp's rating system.",434,1,1,"Reference to other reviews # The review explicitly criticizes ""those who gave this Thai restaurant anything more than 2 stars"" and refers to ""Yelp's rating system"", indicating a direct engagement with other reviewers' opinions."
40,40,1105383,2013-12-26,m6zxxLcgNPsY7vOOEZRjow,vitae-new-york,3.0,"Decided to go here due  to great reviews but was not impressed. I was looking for a romantic atmosphere to celebrate an anniversary. The decor was pleasant  and was quite enough for conversations. Pros are the house roll & pulled pork taco. Cons, slow service, pasta was cold/hard or under cooked, beef tenderloin was ok but expensive. We ended up just wanting to leave. Tip: If you're catching a show in the area and decide to go here, tell the waiter immediately so they will time your dinner accordingly.",89,1,1,"Reference to other reviews # The phrase ""due to great reviews"" explicitly mentions reviews from another source."
41,41,2099716,2016-01-31,WtJZWM_cnrpeyjxwP5DBwg,resorts-world-casino-new-york-city-jamaica-2,3.0,"I go often.....I win some and lose some.....I don't have a problem with that....what bothers me is how the place got rid of so much of it's help....,the coatroom is now a ""crystal junk shop"".... so you have to drag your coat around with you.....the restrooms used to be spotless....not anymore.,.. The cashiers cages on just one floor is not enough...,and finally the "" help""...(when there's a problem with a machine.....Good luck trying to find someone to assist you)........why are the services so inadequate... What are you doing with all of the money you are taking in. !!!!",98,0,0,"No reference # The review solely focuses on the restaurant's operational changes and service quality, without mentioning or referencing other reviews or the review platform itself."
42,42,1195229,2014-03-23,FueAZy1cPHMU46oXeDamSw,church-and-dey-new-york,4.0,Service was great! Went for an early bday celebration and everything was perfect!    Reservation was for 8:30 and it was pretty empty in there which I didn't mind.  Although the menu seemed limited it's Delish and worth a visit,39,0,0,No reference # The review solely describes the user's experience and doesn't mention or allude to other reviews or the Yelp platform itself.
43,43,1633220,2015-03-23,r93tfkdg_72I9CgZOb0oCQ,mikado-new-york-2,1.0,"Avoid. Friends and myself ate here last week, and for the next 48 hours all three of us couldn't leave our apartments if you get my drift.  Dirty plates, warm sushi, mold smelling main room. This place used to be great, but now it's really bad.",46,0,0,No reference. # The review solely describes a negative experience and doesn't mention or allude to other reviews or Yelp itself.
44,44,1381503,2014-09-02,NbKm_pU3qcI-imHfSYVB6Q,rintintin-new-york,4.0,"This Summer, my friend and I stumbled into Rintintin after watching ""Lucy"" because I love NOLITA & hungry. Such a cute place! I highly recommend appetizers CEVICHE & MUSSELS. Bold, delicious flavors exploding in my mouth. The service was pretty good, too.Totally going back! So pleased.",46,0,0,No reference # The review describes a personal experience and recommendation without mentioning or referencing other reviews or the review platform Yelp.
45,45,625392,2012-04-13,VkQRG7z65qEAZwN-NIrXuQ,bleecker-street-pizza-new-york,5.0,deeeeeelisious!,1,0,0,"Input: ""The food was deeeeeelisious!"" Output: No reference # Solely describes the reviewer's experience with the food."
46,46,2949397,2018-02-22,nu6b6GpbSMXeQeE-u4sf0A,galata-mediterranean-cuisine-new-york,4.0,"We were looking for something new, for us that is, near my brother in law&#39;s apartment on East 36. After a search on Yelp exploring the options in the area we decided to try the Mediterranean cooking at Galata two blocks away. The restaurant had a warm feel about it. Like being in Turkey. They brought us some very tasty Mediterranean bread. It had a  chewy crust and a soft inside, perfect for sopping up the hummus and eggplant appetizers that we had ordered. We also ordered Cigar Rolls / Sigara Boregi. Cigar-shaped pastry stuffed with cheese and parsley that also had a delicious dipping sauce.<br>I didn&#39;t want a heavy meat meal so I opted for two appetizers as my meal. I ordered the Grilled Calamari / Kalamar Izgara. Tender pieces of char-grilled calamari, seasoned with garlic, tarragon and parsley, served with a house salad the tarragon dressing for the calamari was very good as was the salad. I also ordered a falafel appetizer, 5 perfectly cooked falafel balls with some hummus to dip them in. These were the second best falafel balls I&#39;ve ever had. Fried to a crispy golden brown with a moist and delicious inside. I also ordered their Mediterranean beer. My wife ordered the Lamb Shish. Pieces of lamb, marinated in sauce and grilled it was served with rice and house salad. I tried the lamb it was flavorful and tender. My sister in law had the Adana Kebab, chopped lamb with red bell peppers, seasoned and grilled on skewer, served with rice and a house salad. She said it was very good and took some leftovers home. My brother in law had the Iskender Kebab. Doner kebab served over fried pide bread topped with a fresh tomato sauce, yogurt on the side. He liked it, said it had a kick to the sauce. All said and done we enjoyed our first meal at Galata and look forward to going back to try some more of their Mediterranean cooking.",333,0,0,No reference # The review describes a personal experience and doesn't mention or refer to other reviews or ratings on Yelp. It just talks about the restaurant and the food.
47,47,57161,2008-05-08,77orrALxKhy6zamnstuMVQ,mr-chow-new-york-2,4.0,"The food is great, the decor is stylish and funky.  Yes, I like plastic furniture sometimes.  The only thing that could change is the service.  It's TOO good.  As soon as we sat down we were surrounded by five waiters!",40,0,0,"No reference # The review solely describes the user's experience and opinion about the restaurant's food, decor, and service without referencing other reviews or Yelp itself."
48,48,1144796,2014-02-03,rIeNd-MO7jocUuDqjGspPw,shake-shack-new-york-2,3.0,"Oh, Shake Shack.  Not worth it if there is a line, worth it if there isn't.  Which is usually at a time when you're not hungry, but if the stars align--the weather's nice, it's 3 pm and you haven't had lunch, then go for it.",45,0,0,"No reference # The review describes a personal experience and conditions under which the restaurant is enjoyable, without referencing other reviews or the platform itself."
49,49,1124906,2014-01-13,8mZJeTgS1B_uR4AgUTKPyw,thai-jasmine-resturant-new-york,5.0,"This place is simply wonderful. After stumbling by unauthentic Asian cuisines by and by in Little Italy and Chinatown, it's nice to walk into a decent looking Thai restaurant with just as decent food. The staff was incredibly friendly and the food tasted great. Packed a lot of punch and flavour and made with very fresh ingredients. The pictures speak for themselves. Did I mention it's really clean and well decorated?",71,0,0,No reference. # The review solely describes the reviewer's experience and doesn't mention or allude to other reviews or the review platform Yelp.
